coachID,Coach,From,To,Birth Date,College,Team ,Active
345,Paul Westhead,1980,1992,February 21 1939,Saint Joseph's University,Houston Rockets,0
346,Paul Westphal*,1993,2012,November 30 1950,University of Southern California,Detroit Pistons,0
347,John Wetzel,1988,1988,October 22 1944,Virginia Polytechnic Institute and State University,Milwaukee Bucks,0
348,Lenny Wilkens*,1970,2005,October 28 1937,Providence College,Memphis Grizzlies,0
349,Herb Williams,2004,2005,February 16 1958,Ohio State University,Los Angeles Clippers,0
350,Max Williams,1970,1971,,,New York Knicks,0
351,Monty Williams,2011,2015,October 8 1971,University of Notre Dame,New Orleans Pelicans,0
352,Tex Winter*,1972,1973,February 25 1922,,Houston Rockets,0
353,Brian Winters,1996,2002,March 1 1952,University of South Carolina,New Orleans Pelicans,0
354,Randy Wittman,2000,2016,October 28 1959,Indiana University,Denver Nuggets,0
355,Dave Wohl,1986,1988,November 2 1949,University of Pennsylvania,Cleveland Cavaliers,0
356,Charles Wolf,1961,1965,,,Utah Jazz,0
357,Mike Woodson,2005,2014,March 24 1958,Indiana University,Denver Nuggets,0
358,Draff Young,1974,1974,,,Minnesota Timberwolves,0
359,Verl Young,1969,1969,,,Oklahoma City Thunder,0
360,Max Zaslofsky,1968,1969,December 7 1925,St. John's University,Atlanta Hawks,0
